frame_id,period,track_id,team_id,team_name,jersey_number,x_ft,y_ft,video_shot
24,1,109,Light,Canada,6,29.55622113,45.4191486,1
24,1,110,Light,Canada,6,29.46458651,52.76415785,1
24,1,111,Light,Canada,35,17.52388527,48.4018906,1
24,1,112,Dark,USA,26,36.25067499,71.81592007,1
24,1,113,Dark,USA,28,36.97926442,53.75486096,1
24,1,114,Light,Canada,40,31.11157489,62.89708482,1
24,1,115,Light,Canada,14,30.02708716,73.00155103,1
24,1,117,Dark,USA,11,33.21775728,61.80501103,1
25,1,109,Light,Canada,6,26.92329661,45.31413688,1
25,1,110,Light,Canada,6,26.65922948,52.76995381,1
25,1,111,Light,Canada,35,14.45326825,48.29644879,1
25,1,112,Dark,USA,26,32.85346802,72.36830235,1
25,1,113,Dark,USA,28,34.26252302,53.96406478,1
25,1,114,Light,Canada,40,27.76277567,64.00037673,1
25,1,115,Light,Canada,14,26.60409584,73.00452107,1
25,1,117,Dark,USA,11,29.61650836,63.5793976,1
26,1,109,Light,Canada,6,25.2092569,45.30944427,1
26,1,110,Light,Canada,6,24.93704447,52.85773529,1
26,1,111,Light,Canada,35,12.32762613,48.39094493,1
26,1,112,Dark,USA,26,31.3853596,72.24503696,1
26,1,113,Dark,USA,28,32.67536328,53.99398128,1
26,1,114,Light,Canada,40,25.99831373,64.15875673,1
26,1,115,Light,Canada,14,25.08206029,72.46751474,1
26,1,117,Dark,USA,11,27.71146356,64.05827549,1
27,1,109,Light,Canada,6,28.34232031,45.44062561,1
27,1,110,Light,Canada,6,28.08537759,52.63673239,1
27,1,111,Light,Canada,35,15.68016224,48.44499098,1
27,1,112,Dark,USA,26,34.70985393,70.84543414,1
27,1,113,Dark,USA,28,35.45666111,53.71742368,1
27,1,114,Light,Canada,40,29.67558362,62.73035765,1
27,1,115,Light,Canada,14,29.41438263,70.24393711,1
27,1,117,Dark,USA,11,31.01500504,63.4458677,1
28,1,109,Light,Canada,6,27.32726418,45.60369147,1
28,1,110,Light,Canada,6,26.71918369,53.01432967,1
28,1,111,Light,Canada,35,14.45579319,48.38971999,1
28,1,112,Dark,USA,26,33.03324331,71.37274563,1
28,1,113,Dark,USA,28,33.9239253,54.42204661,1
28,1,114,Light,Canada,40,28.07937234,63.45284356,1
28,1,115,Light,Canada,14,28.16720728,70.12752712,1
28,1,117,Dark,USA,11,29.69975748,63.52894081,1
29,1,109,Light,Canada,6,27.80915802,45.62654654,1
29,1,110,Light,Canada,6,27.16133917,53.04825875,1
29,1,111,Light,Canada,35,14.92606688,48.38961191,1
29,1,112,Dark,USA,26,33.54818786,71.21973488,1
29,1,113,Dark,USA,28,34.2808554,54.49925171,1
29,1,114,Light,Canada,40,28.54644415,63.50768672,1
29,1,115,Light,Canada,14,28.68559666,70.36535382,1
29,1,117,Dark,USA,11,30.27470537,63.3200117,1
30,1,109,Light,Canada,6,28.2469133,45.49478875,1
30,1,110,Light,Canada,6,27.3117488,52.90322926,1
30,1,111,Light,Canada,35,15.12314547,48.1285935,1
30,1,112,Dark,USA,26,33.18154563,70.92475024,1
30,1,113,Dark,USA,28,34.11967455,54.67898938,1
30,1,114,Light,Canada,40,28.75751224,62.68638359,1
30,1,115,Light,Canada,14,28.40355747,70.33986986,1
30,1,117,Dark,USA,11,30.20468964,63.00784071,1
31,1,109,Light,Canada,6,29.19538568,45.56315837,1
31,1,110,Light,Canada,6,28.46056274,53.2407076,1
31,1,111,Light,Canada,35,16.10126067,48.44502533,1
31,1,112,Dark,USA,26,34.88103952,70.29899451,1
31,1,113,Dark,USA,28,35.27438194,55.12935002,1
31,1,114,Light,Canada,40,30.07802501,63.04588206,1
31,1,115,Light,Canada,14,30.64359829,69.51303628,1
31,1,117,Dark,USA,11,31.83120553,62.94212188,1
32,1,109,Light,Canada,6,29.60113677,45.59652253,1
32,1,110,Light,Canada,6,28.79882424,53.39090393,1
32,1,111,Light,Canada,35,16.40896115,48.48378065,1
32,1,112,Dark,USA,26,35.2551117,69.97674693,1
32,1,113,Dark,USA,28,35.50697451,55.4559168,1
32,1,114,Light,Canada,40,30.46831569,63.03407419,1
32,1,115,Light,Canada,14,31.30947173,69.15921706,1
32,1,117,Dark,USA,11,32.28134907,62.84782804,1
33,1,109,Light,Canada,6,29.9394755,45.63794891,1
33,1,110,Light,Canada,6,29.06825523,53.56352068,1
33,1,111,Light,Canada,35,16.63536254,48.52686714,1
33,1,112,Dark,USA,26,35.56948099,69.66124594,1
33,1,113,Dark,USA,28,35.69663773,55.80780212,1
33,1,114,Light,Canada,40,30.7727327,63.07022919,1
33,1,115,Light,Canada,14,31.89595703,68.8339496,1
33,1,117,Dark,USA,11,32.64797137,62.80007078,1
34,1,109,Light,Canada,6,30.2255756,45.6912919,1
34,1,110,Light,Canada,6,29.27948088,53.75296304,1
34,1,111,Light,Canada,35,16.79364802,48.57001899,1
34,1,112,Dark,USA,26,35.83472363,69.35151379,1
34,1,113,Dark,USA,28,35.85631305,56.1732984,1
34,1,114,Light,Canada,40,31.00268642,63.14237027,1
34,1,115,Light,Canada,14,32.41526651,68.51966601,1
34,1,117,Dark,USA,11,32.93378691,62.80125601,1
35,1,109,Light,Canada,6,30.48403532,45.75831639,1
35,1,110,Light,Canada,6,29.45160143,53.95267479,1
35,1,111,Light,Canada,35,16.9080685,48.60645127,1
35,1,112,Dark,USA,26,36.06699555,69.05167937,1
35,1,113,Dark,USA,28,36.00526903,56.54195457,1
35,1,114,Light,Canada,40,31.17793832,63.23943081,1
35,1,115,Light,Canada,14,32.88385293,68.21134518,1
35,1,117,Dark,USA,11,33.15447791,62.84491729,1
36,1,109,Light,Canada,6,30.73866126,45.83707556,1
36,1,110,Light,Canada,6,29.6052771,54.15409453,1
36,1,111,Light,Canada,35,17.00297719,48.62858016,1
36,1,112,Dark,USA,26,36.28578975,68.7652272,1
36,1,113,Dark,USA,28,36.16454014,56.90105738,1
36,1,114,Light,Canada,40,31.32096867,63.34856203,1
36,1,115,Light,Canada,14,33.31660671,67.91434308,1
36,1,117,Dark,USA,11,33.33088768,62.91905835,1
37,1,109,Light,Canada,6,31.02550937,45.92301476,1
37,1,110,Light,Canada,6,29.77657271,54.34639878,1
37,1,111,Light,Canada,35,17.11582268,48.63242515,1
37,1,112,Dark,USA,26,36.52867403,68.48528154,1
37,1,113,Dark,USA,28,36.36882711,57.23500365,1
37,1,114,Light,Canada,40,31.47394809,63.44657794,1
37,1,115,Light,Canada,14,33.74958209,67.62595926,1
37,1,117,Dark,USA,11,33.50292727,63.00526126,1
38,1,109,Light,Canada,6,31.3740556,46.01195997,1
38,1,110,Light,Canada,6,29.99747971,54.52235145,1
38,1,111,Light,Canada,35,17.27686315,48.62116269,1
38,1,112,Dark,USA,26,36.83268852,68.20178889,1
38,1,113,Dark,USA,28,36.64827247,57.53170942,1
38,1,114,Light,Canada,40,31.67572021,63.51523325,1
38,1,115,Light,Canada,14,34.22418297,67.33560884,1
38,1,117,Dark,USA,11,33.71101444,63.08511442,1
39,1,109,Light,Canada,6,31.78970174,46.10105174,1
