frame_id,period,track_id,team_id,team_name,jersey_number,x_ft,y_ft,video_shot,game_seconds,powerplay_id
45,3,56,Dark,ROC,97,175.6550035,28.13134607,1,106,14
45,3,57,Light,Switzerland,25,167.6285529,26.92515681,1,106,14
45,3,58,Light,Switzerland,7,169.822674,43.76618189,1,106,14
45,3,59,Light,Switzerland,20,188.2832101,38.79189189,1,106,14
45,3,61,Light,Switzerland,18,175.7658058,35.15266673,1,106,14
45,3,62,Dark,ROC,13,173.2276823,14.83234792,1,106,14
45,3,63,Dark,ROC,27,166.4639716,22.95753468,1,106,14
45,3,64,Light,Switzerland,9,175.2368854,16.65532234,1,106,14
45,3,65,Dark,ROC,18,138,9,1,106,14
46,3,56,Dark,ROC,97,175.8126686,28.25070132,1,106,14
46,3,57,Light,Switzerland,25,167.4615415,27.62620174,1,106,14
46,3,58,Light,Switzerland,7,169.2579732,43.95726379,1,106,14
46,3,59,Light,Switzerland,20,188.2254069,39.59797557,1,106,14
46,3,61,Light,Switzerland,18,175.604887,35.45217848,1,106,14
46,3,62,Dark,ROC,13,173.2773512,15.25750626,1,106,14
46,3,63,Dark,ROC,27,166.2547269,23.18033446,1,106,14
46,3,64,Light,Switzerland,9,175.134021,17.127069,1,106,14
46,3,65,Dark,ROC,18,137.747794,9.65709304,1,106,14
47,3,56,Dark,ROC,97,175.7798035,27.8276506,1,106,14
47,3,57,Light,Switzerland,25,166.9595246,27.55099392,1,106,14
47,3,58,Light,Switzerland,7,168.9850511,43.49120951,1,106,14
47,3,59,Light,Switzerland,20,187.7948852,39.10417997,1,106,14
47,3,61,Light,Switzerland,18,175.4252973,34.99135272,1,106,14
47,3,62,Dark,ROC,13,173.2240355,15.89181889,1,106,14
47,3,63,Dark,ROC,27,165.9878646,23.21252971,1,106,14
47,3,64,Light,Switzerland,9,173.719927,16.52637021,1,106,14
47,3,65,Dark,ROC,18,137.495588,10.31418608,1,106,14
48,3,56,Dark,ROC,97,176.3110823,27.47405227,1,106,14
48,3,57,Light,Switzerland,25,166.7874907,27.54327499,1,106,14
48,3,58,Light,Switzerland,7,168.612289,43.33093129,1,106,14
48,3,59,Light,Switzerland,20,188.0317758,39.12388261,1,106,14
48,3,61,Light,Switzerland,18,175.8929424,35.15884548,1,106,14
48,3,62,Dark,ROC,13,173.6662838,16.15527142,1,106,14
48,3,63,Dark,ROC,27,165.9505229,23.48452081,1,106,14
48,3,64,Light,Switzerland,9,175.9748976,18.46158891,1,106,14
48,3,65,Dark,ROC,18,137.243382,10.97127912,1,106,14
49,3,56,Dark,ROC,97,176.2555283,27.01579348,1,106,14
49,3,57,Light,Switzerland,25,166.2928002,27.65796465,1,106,14
49,3,58,Light,Switzerland,7,167.4616835,42.96448459,1,106,14
49,3,59,Light,Switzerland,20,186.811029,38.95636733,1,106,14
49,3,61,Light,Switzerland,18,175.290889,35.04292636,1,106,14
49,3,62,Dark,ROC,13,173.6309729,16.13802767,1,106,14
49,3,63,Dark,ROC,27,165.6551083,23.70119137,1,106,14
49,3,64,Light,Switzerland,9,176.8334079,19.5835229,1,106,14
49,3,65,Dark,ROC,18,136.991176,11.62837216,1,106,14
50,3,56,Dark,ROC,97,176.412713,26.85629437,1,106,14
50,3,57,Light,Switzerland,25,166.3134473,27.72356208,1,106,14
50,3,58,Light,Switzerland,7,167.4078655,42.87055137,1,106,14
50,3,59,Light,Switzerland,20,186.8301585,38.89877256,1,106,14
50,3,61,Light,Switzerland,18,175.3610739,34.9991347,1,106,14
50,3,62,Dark,ROC,13,173.6762634,16.16990768,1,106,14
50,3,63,Dark,ROC,27,165.7034997,23.82235252,1,106,14
50,3,64,Light,Switzerland,9,177.1342599,19.89765739,1,106,14
50,3,65,Dark,ROC,18,136.73897,12.2854652,1,106,14
51,3,56,Dark,ROC,97,177.3011621,27.00947963,1,106,14
51,3,57,Light,Switzerland,25,166.0623188,27.49111138,1,106,14
51,3,58,Light,Switzerland,7,167.3396896,42.70737293,1,106,14
51,3,59,Light,Switzerland,20,187.4404882,39.21134885,1,106,14
51,3,61,Light,Switzerland,18,175.560339,34.95721197,1,106,14
51,3,62,Dark,ROC,13,173.6602239,16.30245807,1,106,14
51,3,63,Dark,ROC,27,165.9069248,24.1431071,1,106,14
51,3,64,Light,Switzerland,9,177.2680568,20.04523134,1,106,14
51,3,65,Dark,ROC,18,136.486764,12.94255824,1,106,14
52,3,56,Dark,ROC,97,177.5808532,27.12494328,1,106,14
52,3,57,Light,Switzerland,25,165.2443433,27.6792295,1,106,14
52,3,58,Light,Switzerland,7,166.5018193,42.42997387,1,106,14
52,3,59,Light,Switzerland,20,186.9038182,39.23350599,1,106,14
52,3,61,Light,Switzerland,18,175.3188493,35.24839306,1,106,14
52,3,62,Dark,ROC,13,173.4739872,16.40020708,1,106,14
52,3,63,Dark,ROC,27,165.6264741,24.39913732,1,106,14
52,3,64,Light,Switzerland,9,176.4237304,19.90267935,1,106,14
52,3,65,Dark,ROC,18,136.234558,13.59965128,1,106,14
53,3,56,Dark,ROC,97,177.9735498,27.12250974,1,106,14
53,3,57,Light,Switzerland,25,164.8159895,27.72203194,1,106,14
53,3,58,Light,Switzerland,7,166.0517952,42.21857667,1,106,14
53,3,59,Light,Switzerland,20,186.750128,39.28768693,1,106,14
53,3,61,Light,Switzerland,18,175.2749071,35.34059011,1,106,14
53,3,62,Dark,ROC,13,173.4142765,16.50116772,1,106,14
53,3,63,Dark,ROC,27,165.5498174,24.62530303,1,106,14
53,3,64,Light,Switzerland,9,176.3570905,20.13816397,1,106,14
53,3,65,Dark,ROC,18,136.0357188,13.62406005,1,106,14
54,3,56,Dark,ROC,97,178.3727462,27.15050932,1,106,14
54,3,57,Light,Switzerland,25,164.3771005,27.77783869,1,106,14
54,3,58,Light,Switzerland,7,165.621052,42.01051772,1,106,14
54,3,59,Light,Switzerland,20,186.6001742,39.34593854,1,106,14
54,3,61,Light,Switzerland,18,175.2439598,35.45387693,1,106,14
54,3,62,Dark,ROC,13,173.3336732,16.60180915,1,106,14
54,3,63,Dark,ROC,27,165.4734848,24.84648075,1,106,14
54,3,64,Light,Switzerland,9,176.2057867,20.31682345,1,106,14
54,3,65,Dark,ROC,18,135.8119414,13.61920082,1,106,14
55,3,56,Dark,ROC,97,178.7722785,27.19771457,1,106,14
55,3,57,Light,Switzerland,25,163.9376026,27.8475615,1,106,14
55,3,58,Light,Switzerland,7,165.2132536,41.80382757,1,106,14
55,3,59,Light,Switzerland,20,186.4497198,39.40012963,1,106,14
55,3,61,Light,Switzerland,18,175.2320224,35.5826282,1,106,14
55,3,62,Dark,ROC,13,173.2393533,16.70721175,1,106,14
55,3,63,Dark,ROC,27,165.3993496,25.06276012,1,106,14
55,3,64,Light,Switzerland,9,176.0089089,20.46890798,1,106,14
55,3,65,Dark,ROC,18,135.588164,13.61434158,1,106,14
56,3,56,Dark,ROC,97,179.1693002,27.25754167,1,106,14
56,3,57,Light,Switzerland,25,163.5075471,27.93194855,1,106,14
56,3,58,Light,Switzerland,7,164.8276197,41.59774272,1,106,14
56,3,59,Light,Switzerland,20,186.2944118,39.44679689,1,106,14
56,3,61,Light,Switzerland,18,175.2410917,35.72276736,1,106,14
56,3,62,Dark,ROC,13,173.1373543,16.81721496,1,106,14
56,3,63,Dark,ROC,27,165.3319431,25.27776327,1,106,14
56,3,64,Light,Switzerland,9,175.8081065,20.62454637,1,106,14
56,3,65,Dark,ROC,18,135.3089637,13.56213744,1,106,14
57,3,56,Dark,ROC,97,179.5656363,27.33037036,1,106,14
57,3,57,Light,Switzerland,25,163.0951193,28.03009111,1,106,14
57,3,58,Light,Switzerland,7,164.4650688,41.39215568,1,106,14
57,3,59,Light,Switzerland,20,186.1365064,39.48553933,1,106,14
57,3,61,Light,Switzerland,18,175.2718976,35.87019251,1,106,14
57,3,62,Dark,ROC,13,173.0316299,16.93127833,1,106,14
57,3,63,Dark,ROC,27,165.2780154,25.49700027,1,106,14
57,3,64,Light,Switzerland,9,175.6237748,20.79595998,1,106,14
57,3,65,Dark,ROC,18,135.163331,13.74501854,1,106,14
58,3,56,Dark,ROC,97,179.9706056,27.42270426,1,106,14
58,3,57,Light,Switzerland,25,162.7037915,28.13901325,1,106,14
58,3,58,Light,Switzerland,7,164.125706,41.18720464,1,106,14
58,3,59,Light,Switzerland,20,185.9863675,39.5196196,1,106,14
58,3,61,Light,Switzerland,18,175.3267288,36.02301563,1,106,14
58,3,62,Dark,ROC,13,172.9264935,17.05038584,1,106,14
58,3,63,Dark,ROC,27,165.2447514,25.7280003,1,106,14
58,3,64,Light,Switzerland,9,175.4652152,20.98662354,1,106,14
58,3,65,Dark,ROC,18,134.8433058,13.37763961,1,106,14
59,3,56,Dark,ROC,97,180.3928861,27.54195298,1,106,14
59,3,57,Light,Switzerland,25,162.3301131,28.25660574,1,106,14
59,3,58,Light,Switzerland,7,163.8012225,40.98189116,1,106,14
59,3,59,Light,Switzerland,20,185.8479309,39.55185152,1,106,14
59,3,61,Light,Switzerland,18,175.4034408,36.18121609,1,106,14
59,3,62,Dark,ROC,13,172.8260105,17.17587553,1,106,14
59,3,63,Dark,ROC,27,165.2348744,25.97804082,1,106,14
59,3,64,Light,Switzerland,9,175.3340649,21.1972875,1,106,14
59,3,65,Dark,ROC,18,134.6820704,13.56113317,1,106,14
60,3,56,Dark,ROC,97,180.8379414,27.6934149,1,106,14
60,3,57,Light,Switzerland,25,161.9707122,28.38135861,1,106,14
60,3,58,Light,Switzerland,7,163.4829828,40.77593637,1,106,14
60,3,59,Light,Switzerland,20,185.722087,39.58316596,1,106,14
60,3,61,Light,Switzerland,18,175.4985624,36.34427003,1,106,14
60,3,62,Dark,ROC,13,172.734974,17.30890855,1,106,14
60,3,63,Dark,ROC,27,165.2482295,26.2511231,1,106,14
60,3,64,Light,Switzerland,9,175.2315894,21.42857931,1,106,14
60,3,65,Dark,ROC,18,134.456188,13.52538719,1,106,14
61,3,56,Dark,ROC,97,181.3104458,27.8802358,1,106,14
61,3,57,Light,Switzerland,25,161.6245691,28.5105823,1,106,14
61,3,58,Light,Switzerland,7,163.1668229,40.570267,1,106,14
61,3,59,Light,Switzerland,20,185.6122725,39.61397221,1,106,14
61,3,61,Light,Switzerland,18,175.6097924,36.50983521,1,106,14
61,3,62,Dark,ROC,13,172.6584562,17.45044849,1,106,14
61,3,63,Dark,ROC,27,165.283766,26.54755343,1,106,14
61,3,64,Light,Switzerland,9,175.1595365,21.67950253,1,106,14
61,3,65,Dark,ROC,18,134.2374723,13.50713475,1,106,14
62,3,56,Dark,ROC,97,181.8123664,28.1029714,1,106,14
62,3,57,Light,Switzerland,25,161.2905471,28.64143092,1,106,14
62,3,58,Light,Switzerland,7,162.850461,40.36617881,1,106,14
62,3,59,Light,Switzerland,20,185.5212819,39.64369719,1,106,14
62,3,61,Light,Switzerland,18,175.7343621,36.6746526,1,106,14
62,3,62,Dark,ROC,13,172.6001897,17.60094099,1,106,14
62,3,63,Dark,ROC,27,165.3383073,26.86442949,1,106,14
62,3,64,Light,Switzerland,9,175.1146698,21.94466401,1,106,14
62,3,65,Dark,ROC,18,134.0244686,13.48721959,1,106,14
63,3,56,Dark,ROC,97,182.3418804,28.35897309,1,106,14
63,3,57,Light,Switzerland,25,160.9675778,28.77112209,1,106,14
63,3,58,Light,Switzerland,7,162.5334732,40.16520946,1,106,14
63,3,59,Light,Switzerland,20,185.4503536,39.67068011,1,106,14
63,3,61,Light,Switzerland,18,175.868794,36.83452035,1,106,14
63,3,62,Dark,ROC,13,172.5619092,17.76036267,1,106,14
63,3,63,Dark,ROC,27,165.4068244,27.19633347,1,106,14
63,3,64,Light,Switzerland,9,175.0895885,22.21545668,1,106,14
63,3,65,Dark,ROC,18,133.8168771,13.46461974,1,106,14
64,3,56,Dark,ROC,97,182.8931501,28.64260698,1,106,14
64,3,57,Light,Switzerland,25,160.654769,28.89711215,1,106,14
64,3,58,Light,Switzerland,7,162.2169759,39.96909319,1,106,14
64,3,59,Light,Switzerland,20,185.3986269,39.69236098,1,106,14
64,3,61,Light,Switzerland,18,176.0088219,36.98462071,1,106,14
64,3,62,Dark,ROC,13,172.5430551,17.9282855,1,106,14
64,3,63,Dark,ROC,27,165.4830779,27.53643894,1,106,14
