frame_id,period,track_id,team_id,team_name,jersey_number,x_ft,y_ft,video_shot,game_seconds
1,2,41,Dark,USA,21,163.3556006,33.31165595,1,272
1,2,43,Light,Canada,28,173.0382768,34.10679621,1,272
1,2,45,Light,Canada,35,185.1196237,38.1619251,1,272
1,2,46,Dark,USA,20,164.5712594,22.23480558,1,272
1,2,47,Light,Canada,23,173.3674845,11.80077489,1,272
1,2,48,Light,Canada,19,172.9549567,41.95824003,1,272
1,2,49,Dark,USA,26,163.2154272,11.29395077,1,272
1,2,50,Light,Canada,29,169.5980886,23.64195734,1,272
2,2,41,Dark,USA,21,163.1788607,33.38852104,1,272
2,2,43,Light,Canada,28,172.8940635,34.23869811,1,272
2,2,45,Light,Canada,35,185.1565505,38.28611708,1,272
2,2,46,Dark,USA,20,164.4370366,22.23815166,1,272
2,2,47,Light,Canada,23,173.3436164,11.80411196,1,272
2,2,48,Light,Canada,19,172.8733945,42.13956292,1,272
2,2,49,Dark,USA,26,163.1552983,11.2958152,1,272
2,2,50,Light,Canada,29,169.4459375,23.63703956,1,272
3,2,41,Dark,USA,21,163.0840215,33.38343212,1,272
3,2,43,Light,Canada,28,172.9139463,34.37091976,1,272
3,2,45,Light,Canada,35,185.0670395,38.23488119,1,272
3,2,46,Dark,USA,20,164.5503829,22.30172253,1,272
3,2,47,Light,Canada,23,173.2914799,11.78095065,1,272
3,2,48,Light,Canada,19,172.7833595,42.1111731,1,272
3,2,49,Dark,USA,26,163.0488417,11.2472859,1,272
3,2,50,Light,Canada,29,168.647851,22.72626389,1,272
4,2,41,Dark,USA,21,163.2156675,33.37589783,1,272
4,2,43,Light,Canada,28,173.0777477,34.39077102,1,272
4,2,45,Light,Canada,35,185.1226154,38.23291318,1,272
4,2,46,Dark,USA,20,164.662965,22.12885263,1,272
4,2,47,Light,Canada,23,173.3051282,11.69193072,1,272
4,2,48,Light,Canada,19,172.9459052,42.06698513,1,272
4,2,49,Dark,USA,26,163.1047669,11.10982672,1,272
4,2,50,Light,Canada,29,169.1034091,23.04149273,1,272
5,2,41,Dark,USA,21,163.1795923,33.41803673,1,272
5,2,43,Light,Canada,28,173.0364971,34.4189762,1,272
5,2,45,Light,Canada,35,185.3508585,38.55973392,1,272
5,2,46,Dark,USA,20,164.7988146,22.11196915,1,272
5,2,47,Light,Canada,23,173.2525986,11.67635324,1,272
5,2,48,Light,Canada,19,173.1310961,42.42891937,1,272
5,2,49,Dark,USA,26,163.1039152,11.10434601,1,272
5,2,50,Light,Canada,29,169.98558,24.42063745,1,272
6,2,41,Dark,USA,21,162.9797376,33.36173895,1,272
6,2,43,Light,Canada,28,172.7844513,34.31249184,1,272
6,2,45,Light,Canada,35,185.2211451,38.58446693,1,272
6,2,46,Dark,USA,20,164.556552,22.13987711,1,272
6,2,47,Light,Canada,23,172.8802733,11.63170592,1,272
6,2,48,Light,Canada,19,172.8967276,42.42111037,1,272
6,2,49,Dark,USA,26,162.782023,11.02157238,1,272
6,2,50,Light,Canada,29,169.501022,24.26647043,1,272
7,2,41,Dark,USA,21,163.0031799,33.35805061,1,272
7,2,43,Light,Canada,28,172.77671,34.26767339,1,272
7,2,45,Light,Canada,35,185.2112528,38.53774802,1,272
7,2,46,Dark,USA,20,164.5053982,22.05855809,1,272
7,2,47,Light,Canada,23,172.8374831,11.60264058,1,272
7,2,48,Light,Canada,19,172.8656751,42.41766071,1,272
7,2,49,Dark,USA,26,162.8042643,10.98703082,1,272
7,2,50,Light,Canada,29,169.3816158,24.41948456,1,272
8,2,41,Dark,USA,21,162.9459901,33.41529112,1,272
8,2,43,Light,Canada,28,172.7132476,34.40009128,1,272
8,2,45,Light,Canada,35,185.0282283,38.60807175,1,272
8,2,46,Dark,USA,20,164.597727,22.1377612,1,272
8,2,47,Light,Canada,23,172.829972,11.57715438,1,272
8,2,48,Light,Canada,19,172.6424951,42.46293189,1,272
8,2,49,Dark,USA,26,163.2337041,11.21925238,1,272
8,2,50,Light,Canada,29,169.2819239,23.30280381,1,272
9,2,41,Dark,USA,21,162.9065252,33.42398095,1,272
9,2,43,Light,Canada,28,172.6635052,34.42960543,1,272
9,2,45,Light,Canada,35,184.9754766,38.65993609,1,272
9,2,46,Dark,USA,20,164.6049966,22.13114914,1,272
9,2,47,Light,Canada,23,172.7636022,11.54753366,1,272
9,2,48,Light,Canada,19,172.5398482,42.51809121,1,272
9,2,49,Dark,USA,26,163.3731045,11.28580588,1,272
9,2,50,Light,Canada,29,169.2776415,23.28758103,1,272
10,2,41,Dark,USA,21,162.8777291,33.42893998,1,272
10,2,43,Light,Canada,28,172.6307875,34.466232,1,272
10,2,45,Light,Canada,35,184.9296807,38.70498473,1,272
10,2,46,Dark,USA,20,164.6228843,22.12033973,1,272
10,2,47,Light,Canada,23,172.7203396,11.52244189,1,272
10,2,48,Light,Canada,19,172.4351066,42.57141543,1,272
10,2,49,Dark,USA,26,163.5529384,11.37230694,1,272
10,2,50,Light,Canada,29,169.2733592,23.27235826,1,272
11,2,41,Dark,USA,21,162.8656366,33.42700352,1,272
11,2,43,Light,Canada,28,172.6249935,34.50883452,1,272
11,2,45,Light,Canada,35,184.9016171,38.74085625,1,272
11,2,46,Dark,USA,20,164.6571373,22.10085813,1,272
11,2,47,Light,Canada,23,172.7060081,11.50394644,1,272
11,2,48,Light,Canada,19,172.3395444,42.62260082,1,272
11,2,49,Dark,USA,26,163.7689638,11.47449309,1,272
11,2,50,Light,Canada,29,169.2690768,23.25713548,1,272
12,2,41,Dark,USA,21,162.8746436,33.41527792,1,272
12,2,43,Light,Canada,28,172.6522811,34.55431575,1,272
12,2,45,Light,Canada,35,184.900804,38.76631181,1,272
12,2,46,Dark,USA,20,164.7111118,22.06989671,1,272
12,2,47,Light,Canada,23,172.7236328,11.49503007,1,272
12,2,48,Light,Canada,19,172.262364,42.67206737,1,272
12,2,49,Dark,USA,26,164.0148524,11.58849251,1,272
12,2,50,Light,Canada,29,169.2647945,23.24191271,1,272
13,2,41,Dark,USA,21,162.906229,33.39134865,1,272
13,2,43,Light,Canada,28,172.7140099,34.59888916,1,272
13,2,45,Light,Canada,35,184.9310785,38.77883936,1,272
13,2,46,Dark,USA,20,164.7850474,22.02771375,1,272
13,2,47,Light,Canada,23,172.7728474,11.49915113,1,272
13,2,48,Light,Canada,19,172.2064803,42.71783217,1,272
13,2,49,Dark,USA,26,164.2827657,11.71122137,1,272
13,2,50,Light,Canada,29,169.2605121,23.22668993,1,272
14,2,41,Dark,USA,21,162.9609404,33.35413532,1,272
14,2,43,Light,Canada,28,172.8089197,34.63961656,1,272
14,2,45,Light,Canada,35,184.9907116,38.77509982,1,272
14,2,46,Dark,USA,20,164.8784883,21.97641967,1,272
14,2,47,Light,Canada,23,172.8524719,11.51928255,1,272
14,2,48,Light,Canada,19,172.1701339,42.75539014,1,272
14,2,49,Dark,USA,26,164.5676624,11.84045332,1,272
14,2,50,Light,Canada,29,169.2562297,23.21146716,1,272
15,2,41,Dark,USA,21,163.0377584,33.30450567,1,272
15,2,43,Light,Canada,28,172.9325262,34.67535216,1,272
15,2,45,Light,Canada,35,185.0739297,38.75439582,1,272
15,2,46,Dark,USA,20,164.991512,21.92019228,1,272
15,2,47,Light,Canada,23,172.9602439,11.55728837,1,272
15,2,48,Light,Canada,19,172.1481174,42.78097709,1,272
15,2,49,Dark,USA,26,164.8682226,11.97523759,1,272
15,2,50,Light,Canada,29,169.2519474,23.19624438,1,272
16,2,41,Dark,USA,21,163.1332338,33.24437032,1,272
16,2,43,Light,Canada,28,173.0762455,34.7053076,1,272
16,2,45,Light,Canada,35,185.1721046,38.71879166,1,272
16,2,46,Dark,USA,20,165.1222181,21.86405344,1,272
16,2,47,Light,Canada,23,173.090501,11.61318998,1,272
16,2,48,Light,Canada,19,172.1321423,42.79199224,1,272
16,2,49,Dark,USA,26,165.1825491,12.11383777,1,272
16,2,50,Light,Canada,29,169.247665,23.1810216,1,272
17,2,41,Dark,USA,21,163.2425427,33.17631197,1,272
17,2,43,Light,Canada,28,173.2290465,34.72851909,1,272
17,2,45,Light,Canada,35,185.275559,38.67206442,1,272
17,2,46,Dark,USA,20,165.2663953,21.81225557,1,272
17,2,47,Light,Canada,23,173.235043,11.68491935,1,272
17,2,48,Light,Canada,19,172.1127564,42.78711448,1,272
17,2,49,Dark,USA,26,165.5079269,12.25310441,1,272
17,2,50,Light,Canada,29,169.2433826,23.16579883,1,272
18,2,41,Dark,USA,21,163.3600109,33.1035888,1,271
18,2,43,Light,Canada,28,173.3790002,34.74438641,1,271
18,2,45,Light,Canada,35,185.3742157,38.61892651,1,271
18,2,46,Dark,USA,20,165.4184103,21.76809258,1,271
18,2,47,Light,Canada,23,173.3842723,11.76855614,1,271
18,2,48,Light,Canada,19,172.0803844,42.76648378,1,271
18,2,49,Dark,USA,26,165.8426943,12.38964354,1,271
18,2,50,Light,Canada,29,169.2391003,23.15057605,1,271
19,2,41,Dark,USA,21,163.4797036,33.02973116,1,271
19,2,43,Light,Canada,28,173.5149871,34.75263698,1,271
19,2,45,Light,Canada,35,185.4590957,38.56411897,1,271
19,2,46,Dark,USA,20,165.5717983,21.73341419,1,271
19,2,47,Light,Canada,23,173.5282842,11.85894824,1,271
19,2,48,Light,Canada,19,172.0271799,42.73201078,1,271
19,2,49,Dark,USA,26,166.1861752,12.52002158,1,271
19,2,50,Light,Canada,29,169.2348179,23.13535328,1,271
20,2,41,Dark,USA,21,163.595877,32.95818337,1,271
20,2,43,Light,Canada,28,173.6280987,34.75333105,1,271
20,2,45,Light,Canada,35,185.5234201,38.51158142,1,271
20,2,46,Dark,USA,20,165.7199567,21.70857653,1,271
20,2,47,Light,Canada,23,173.6579608,11.95054235,1,271
20,2,48,Light,Canada,19,171.9484821,42.68753437,1,271
20,2,49,Dark,USA,26,166.5384722,12.64108691,1,271
20,2,50,Light,Canada,29,169.2305355,23.1201305,1,271
21,2,41,Dark,USA,21,163.7032005,32.89206068,1,271
21,2,43,Light,Canada,28,173.7124282,34.74691696,1,271
21,2,45,Light,Canada,35,185.5631126,38.46395208,1,271
21,2,46,Dark,USA,20,165.8567733,21.6927574,1,271
21,2,47,Light,Canada,23,173.7658265,12.03818683,1,271
21,2,48,Light,Canada,19,171.8435492,42.63880622,1,271
21,2,49,Dark,USA,26,166.9000576,12.75029213,1,271
21,2,50,Light,Canada,29,169.2262532,23.10490773,1,271
22,2,41,Dark,USA,21,163.7968131,32.83401193,1,271
22,2,43,Light,Canada,28,173.7651938,34.73428747,1,271
22,2,45,Light,Canada,35,185.5767449,38.42250492,1,271
22,2,46,Dark,USA,20,165.9771261,21.68447085,1,271
22,2,47,Light,Canada,23,173.8466005,12.11771773,1,271
22,2,48,Light,Canada,19,171.7155169,42.59331276,1,271
22,2,49,Dark,USA,26,167.2712025,12.84585791,1,271
22,2,50,Light,Canada,29,169.2219708,23.08968495,1,271
23,2,41,Dark,USA,21,163.87245,32.78610508,1,271
23,2,43,Light,Canada,28,173.7864083,34.71674122,1,271
23,2,45,Light,Canada,35,185.5651878,38.38741858,1,271
23,2,46,Dark,USA,20,166.0773276,21.68208065,1,271
23,2,47,Light,Canada,23,173.8974865,12.18619091,1,271
23,2,48,Light,Canada,19,171.5707878,42.55988356,1,271
23,2,49,Dark,USA,26,167.6514537,12.92663506,1,271
23,2,50,Light,Canada,29,169.2176885,23.07446218,1,271
24,2,41,Dark,USA,21,163.9268455,32.74967984,1,271
24,2,43,Light,Canada,28,173.7783833,34.6957899,1,271
24,2,45,Light,Canada,35,185.5312373,38.35818476,1,271
24,2,46,Dark,USA,20,166.1555381,21.68413425,1,271
24,2,47,Light,Canada,23,173.918194,12.24171957,1,271
24,2,48,Light,Canada,19,171.4181358,42.54803446,1,271
24,2,49,Dark,USA,26,168.0393425,12.99164223,1,271
24,2,50,Light,Canada,29,169.2134061,23.0592394,1,271
25,2,41,Dark,USA,21,163.9583777,32.7252252,1,271
25,2,43,Light,Canada,28,173.745234,34.67287258,1,271
25,2,45,Light,Canada,35,185.4793315,38.33403637,1,271
25,2,46,Dark,USA,20,166.2120474,21.68945608,1,271
25,2,47,Light,Canada,23,173.9107236,12.28305379,1,271
25,2,48,Light,Canada,19,171.2676898,42.56711856,1,271
